,end_of_day,usd,gbp,jpy,cad,aud,sgd,twd,chf,cny,krw,thb,myr,dem,nlg,bef,frf,itl,eur,php,inr,idr,zar,special_drawing_rights,neeri_1983_trade_wgt,neeri_1983_import_wgt,neeri_1983_export_wgt,neeri_2000_trade_wgt,neeri_2000_import_wgt,neeri_2000_export_wgt,neeri_2010_trade_wgt,neeri_2010_import_wgt,neeri_2010_export_wgt,neeri_2020_trade_wgt,neeri_2020_import_wgt,neeri_2020_export_wgt
0,2024-05-31,7.819000000000001,9.9405,0.04981000000000001,5.7215,5.1895,5.7855,0.24730000000000002,8.644,1.077,0.0056419999999999994,0.2134,1.6606,,,,,,8.4645,0.1365,0.0935,0.0004809,0.41500000000000004,10.34875926,,,,,,,,,,106.2,107.0,105.3
1,2024-05-30,7.818,9.918,0.049870000000000005,5.6925,5.1585,5.7795000000000005,0.24730000000000002,8.58,1.0761,0.005667,0.2121,1.66045,,,,,,8.4395,0.1365,0.0935,0.0004807,0.42,10.3400868,,,,,,,,,,106.3,107.1,105.4
2,2024-05-29,7.814,9.969,0.04973,5.7205,5.198,5.7935,0.24730000000000002,8.5675,1.07545,0.005725,0.21335,1.6615,,,,,,8.48,0.1365,0.0935,0.0004834,0.42850000000000005,10.3410476,,,,,,,,,,106.2,107.0,105.4
3,2024-05-28,7.808999999999999,9.973,0.049760000000000006,5.7295,5.1995000000000005,5.7940000000000005,0.24730000000000002,8.564,1.07545,0.0057469999999999995,0.2136,1.66335,,,,,,8.4915,0.1365,0.0935,0.0004851,0.425,10.34872107,,,,,,,,,,106.2,106.9,105.4
4,2024-05-27,7.8100000000000005,9.951,0.049780000000000005,5.7145,5.182,5.7865,0.24730000000000002,8.535,1.0762,0.005725,0.21325000000000002,1.6592500000000001,,,,,,8.474,0.1365,0.0935,0.000486,0.424,,,,,,,,,,,106.2,107.0,105.4
5,2024-05-25,7.814,9.953,0.049755,5.7185,5.1785,5.7905,0.24730000000000002,8.542,1.076,0.0057139999999999995,0.21335,1.65815,,,,,,8.4745,0.1365,0.0935,0.0004885,0.42350000000000004,,,,,,,,,,,106.2,107.0,105.4
6,2024-05-24,7.811999999999999,9.918,0.04972000000000001,5.6875,5.1545,5.7795000000000005,0.24730000000000002,8.538,1.07625,0.005704,0.21305000000000002,1.655,,,,,,8.4495,0.1385,0.0935,0.0004883999999999999,0.42250000000000004,10.33808832,,,,,,,,,,106.3,107.0,105.4
7,2024-05-23,7.808999999999999,9.935,0.049835,5.7075,5.1705,5.7845,0.24730000000000002,8.535,1.07605,0.005725,0.2149,1.6572,,,,,,8.4555,0.1385,0.0935,0.0004882,0.425,10.33786656,,,,,,,,,,106.2,106.9,105.4
8,2024-05-22,7.807,9.958,0.049905,5.7185,5.2005,5.7955,0.24730000000000002,8.557,1.07705,0.00572,0.21485,1.6634,,,,,,8.4805,0.1385,0.0935,0.0004879,0.431,10.33482853,,,,,,,,,,106.1,106.8,105.3
9,2024-05-21,7.803000000000001,9.9155,0.049920000000000006,5.7225,5.1915,5.79,0.24730000000000002,8.575,1.07725,0.005723,0.2152,1.6626500000000002,,,,,,8.475,0.1405,0.0935,0.00048699999999999997,0.428,10.33920909,,,,,,,,,,106.1,106.8,105.3
10,2024-05-20,7.800000000000001,9.905,0.050065,5.7285,5.2215,5.7975,0.24730000000000002,8.5775,1.07765,0.005745,0.2164,1.6647,,,,,,8.485,0.1405,0.0935,0.0004878,0.4295,10.33812,,,,,,,,,,106.0,106.7,105.2
11,2024-05-18,7.804,9.9085,0.050135,5.733,5.221,5.802,0.24730000000000002,8.5855,1.079,0.005765999999999999,0.21630000000000002,1.6644999999999999,,,,,,8.4825,0.1405,0.0935,0.000489,0.43,,,,,,,,,,,105.9,106.6,105.1
